[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.110 -> 192.168.0.147 | UDP | 443 -> 50423
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 192.168.0.147 -> 142.250.71.106 | UDP | 65523 -> 443
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 192.168.0.147 -> 142.250.71.106 | UDP | 65523 -> 443
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 142.250.71.110 -> 192.168.0.147 | UDP | 443 -> 50423
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 142.250.71.110 -> 192.168.0.147 | UDP | 443 -> 50423
[13:16:59] 192.168.0.147 -> 142.250.71.110 | UDP | 50423 -> 443
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 192.168.0.147 -> 142.250.71.106 | UDP | 65523 -> 443
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 142.250.71.106 -> 192.168.0.147 | UDP | 443 -> 65523
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 142.250.71.110 -> 192.168.0.147 | UDP | 443 -> 50423
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 142.251.126.94 -> 192.168.0.147 | UDP | 443 -> 63418
[13:16:59] 192.168.0.147 -> 142.251.126.94 | UDP | 63418 -> 443
[13:16:59] 72.153.5.60 -> 192.168.0.147 | TCP | 443 -> 51541
[13:17:00] 192.168.0.1 -> 224.0.0.1 | OTHER | - -> -
[13:17:01] 104.18.39.21 -> 192.168.0.147 | TCP | 443 -> 62153
[13:17:01] 192.168.0.147 -> 104.18.39.21 | TCP | 62153 -> 443
[13:17:01] 104.18.39.21 -> 192.168.0.147 | TCP | 443 -> 62153
[13:17:01] 192.168.0.132 -> 224.0.0.251 | OTHER | - -> -
[13:17:02] 142.251.220.74 -> 192.168.0.147 | UDP | 443 -> 49405
[13:17:02] 192.168.0.147 -> 142.251.220.74 | UDP | 49405 -> 443
[13:17:02] 34.175.83.78 -> 192.168.0.147 | TCP | 443 -> 55633
[13:17:02] 192.168.0.147 -> 34.175.83.78 | TCP | 55633 -> 443
[13:17:03] 192.168.0.147 -> 192.168.0.1 | UDP | 57951 -> 53
[13:17:03] 192.168.0.147 -> 192.168.0.1 | UDP | 56992 -> 53
[13:17:03] 192.168.0.1 -> 224.0.0.2 | OTHER | - -> -
[13:17:03] 192.168.0.1 -> 192.168.0.147 | UDP | 53 -> 57951
[13:17:03] 192.168.0.1 -> 192.168.0.147 | UDP | 53 -> 56992
[13:17:03] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:03] 192.168.0.147 -> 224.0.0.252 | OTHER | - -> -
[13:17:03] 192.168.0.147 -> 20.42.65.91 | TCP | 61060 -> 443
[13:17:03] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:03] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:03] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 61060
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 61060 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 61060 -> 443
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.151 -> 224.0.0.251 | UDP | 5353 -> 5353
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 61060
[13:17:04] 192.168.0.151 -> 224.0.0.251 | UDP | 5353 -> 5353
[13:17:04] 192.168.0.151 -> 224.0.0.251 | UDP | 5353 -> 5353
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:04] 192.168.0.147 -> 20.42.65.91 | TCP | 61060 -> 443
[13:17:04] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:05] 192.168.0.151 -> 224.0.0.251 | UDP | 5353 -> 5353
[13:17:05] 192.168.0.151 -> 239.255.255.250 | UDP | 50755 -> 1900
[13:17:05] 192.168.0.151 -> 239.255.255.250 | UDP | 60842 -> 1900
[13:17:05] 192.168.0.189 -> 192.168.0.255 | UDP | 57621 -> 57621
[13:17:05] 192.168.0.151 -> 239.255.255.250 | UDP | 53836 -> 1900
[13:17:05] 192.168.0.151 -> 239.255.255.250 | UDP | 53836 -> 1900
[13:17:05] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 50923
[13:17:05] 192.168.0.147 -> 20.42.65.91 | TCP | 50923 -> 443
[13:17:05] 20.42.65.91 -> 192.168.0.147 | TCP | 443 -> 61060
[13:17:05] 192.168.0.147 -> 20.42.65.91 | TCP | 61060 -> 443
[13:17:05] 192.168.0.151 -> 239.255.255.250 | UDP | 53836 -> 1900
